Column1,Formality,Activeness,Valence,Exchange,Equality,rel
姑表姐-姑表妹,-0.659592223,0.262717411,-1.050169493,-0.602315728,-0.415752033,姑表姐-姑表妹
姑表姐-姑表弟,-0.481065056,-0.051077572,-1.012725191,-0.377052462,0.342550046,姑表姐-姑表弟
姨母-外甥,-0.038311258,2.053546476,1.366066855,1.091037719,-0.141978732,姨母-外甥
姨母-外甥女,-2.929776504,1.236192781,-1.281796988,2.134408646,2.296108586,姨母-外甥女
姨父-外甥,-0.72096599,-0.249965146,0.093780385,0.496197827,0.490319406,姨父-外甥
姨表兄-姨表妹,-0.069780765,-1.874658846,-1.053974619,0.995825752,-0.570626739,姨表兄-姨表妹
姨表兄-姨表弟,-0.058044453,1.984478615,-1.347205446,-0.763272852,-0.221937171,姨表兄-姨表弟
姨表姐-姨表妹,-0.346809807,0.209985866,-1.085433503,0.573595201,-0.038889271,姨表姐-姨表妹
姨表姐-姨表弟,-0.144443823,-0.516440078,-1.541389128,0.085384632,0.953193199,姨表姐-姨表弟
婆婆-儿媳,0.152795851,0.198496098,0.468587496,-0.940542524,0.519427152,婆婆-儿媳
岳母-女婿,0.706337672,0.562666158,0.532282898,-0.51831484,0.676856621,岳母-女婿
岳父-女婿,1.027180446,0.284284114,0.733129973,-0.151163767,1.643995609,岳父-女婿
干妈-干女儿,-1.690463376,0.860323516,0.541285918,-1.004709972,-0.666163088,干妈-干女儿
干爹-干儿子,-1.047394944,1.352990343,-0.621986857,-0.771868764,-2.154491751,干爹-干儿子
异父异母兄-异父异母妹,0.482349305,0.336361745,-1.472433687,1.021411636,-1.313453656,异父异母兄-异父异母妹
异父异母姐-异父异母妹,0.85504797,0.564470919,-0.144043404,-1.312264372,-1.610770932,异父异母姐-异父异母妹
异父异母姐-异父异母弟,-0.158607897,0.220957372,-1.688153665,2.664213601,-0.458122711,异父异母姐-异父异母弟
弟媳-伯,-0.093154165,0.595323644,-0.241468336,-0.104995532,1.1778217,弟媳-伯
族伯叔-族侄,-0.892051978,0.821743238,2.630224586,-0.552726181,-0.873063295,族伯叔-族侄
族姐-族妹,-0.062938728,0.885490631,-1.0688499,-1.403491542,-2.512934665,族姐-族妹
曾祖母-曾孙女,-1.136738096,-1.409866634,0.963639297,-2.083246596,-0.0592006,曾祖母-曾孙女
