关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换,k3
三从兄-三从弟,0.6619046196922278,-0.6865199814002363,0.035658378387007,-1.3622765587602992,-2.3742836439378188,-2.3300529150405525,-3.706191730368952,0.3271667620272357,0.1390298109711294,1.6290433017478485,1.819495827130087,0.2466391242903764,-0.8749174800467404,-0.2217067995569732,-1.8564441301494887,-3.1509480887522825,-1.944611431678003,0.8558539604203215,-1.0287734573883445,0.6885763965374059,-1.365191361313702,1.0008842003597895,1.2811681954866465,0.7144260377082188,1.1461777043080237,2.4835442299185555,-0.3073523415694476,1.1513156565307678,-1.645699136168676,-0.5282418165732189,2.421540085176578,2.196340236623134,-1.6400640549666492,1
义母-义女,0.9632566470663247,-0.6865199814002363,-0.4370112803397374,0.5678894595748473,1.2203611153690497,0.1854824885233229,1.3184401400559145,-0.5656131848915942,0.7835895898717803,-0.1249857636656689,-0.7834183495301318,-0.7555945896650346,-0.1006675442347306,-0.3190588660013396,-0.0108053700825764,-0.0944026510620068,-1.1112394048623555,-1.0696062884521351,-0.5296723905257457,-0.0373737611048244,0.2931048304287509,-0.3397742652626879,-1.4853846432688391,0.0704437440394061,0.2647050526390664,-0.6323399173240325,0.4581611708008677,0.5144506833265751,0.9845478995715944,1.0175375339015498,1.458905577951076,-0.4659908938865169,0.593921283635578,2
义母-义子,0.6468370183235229,-0.4918691640258429,-0.6142624023622667,0.589495795600987,-0.0982774144269372,0.229358106027344,0.0622821724496976,-0.2934241766846339,0.2134020931519737,-0.0230073296299994,-0.2044613359715169,-0.8658402982001299,0.8545212352724768,-0.5137629988900725,-0.3668932830302687,-0.2059554042623822,-1.0011714013206665,-1.315483406563546,0.0942039430525028,-0.1761583500658395,0.2797314740437311,-0.5632173428664341,-0.4793654291759353,-1.0514941582117276,1.321572772752357,0.4537682711433838,-0.6026218391979976,-0.2448883231861156,0.6557670201040604,1.2571333332251389,0.4232139875879251,1.5841984073453677,0.4991763697216441,1
义父-义女,-1.7489115993005484,1.9899287574976727,-0.5551786950214236,0.1645711870869061,-1.0195180311337226,-1.5110413882988254,-0.2161764903201533,-1.5672687350932086,0.287774375332818,2.240913905961866,1.30274080676372,0.4270411928023505,0.7409084729522363,-3.239620859332333,0.9721978825617578,-2.347768265709582,-1.7559234256065357,-0.6817437922763885,0.6727074523705152,-1.8736006304351729,0.8815325113696213,-1.0101034980739263,1.2811681954866465,-1.8816275836441807,0.4985651438981773,0.2401076439038921,-0.6354295611567254,-1.6410923029029991,0.2330487465029455,3.274375385594712,0.7713095013614324,2.079741792951179,1.5912361669401436,1
义父-义子,-0.6037738952789797,-1.17314702483622,0.6855791591362809,0.250996531191465,0.7687725777676843,-1.979047975008384,1.1946807343804249,0.4578174859665768,-0.9021821395606904,-1.0020002963724275,1.819495827130087,-2.2789898348772595,0.4379411067649281,0.070349399776126,0.3703591564529818,0.9318826783814428,0.5555046487689388,-0.9726406644081984,1.9658329437872488,0.17614099114289,1.951401022171204,1.3919095861663455,-0.932074075517742,1.0162927378654747,-1.6601433908013103,2.430129073108682,-2.669508322597848,-2.596389762709288,1.642109658506662,0.0282387495976977,0.358751855407646,2.1380410147871567,2.3691417759177047,1
亲家-亲家,0.5413638087425889,-1.17314702483622,-0.2302183046467867,-1.2038300945686082,-0.1253727266830191,0.1854824885233229,0.8234025173539568,0.1311906761182243,0.4365189396945066,0.2829279724770094,-0.3049414788205327,-0.2043660469895585,1.7003051325453786,0.0216733665539428,1.062473691478074,1.3000067639426804,1.2159126700190743,1.5415394447310165,-0.3822107116799778,0.6565491837002486,-0.4290564143623173,-1.0101034980739263,0.3254499420983878,-0.4628540929050788,0.2826942904282286,-0.561119708244202,-0.5041986733218143,0.1592759867319295,0.961063551038199,0.3064790326831561,-0.079590643418252,0.1267178614459237,0.1850221814807059,2
从祖姑-从侄孙,0.4509582005303598,0.7733611489077141,0.5969535981250162,0.5966979076097002,-0.2608492879634287,0.5072370168861442,-0.4760712422386808,-0.0321227288059519,-0.1584593177522476,-1.2161550078473338,-0.5633189890037162,0.3969741813836881,-0.6476919554062593,-0.9518472978897214,-0.2314795696557941,-0.4402161859831697,0.1309566351081373,-0.8271922283422934,-0.2801218570944462,-0.4644032656002546,-1.124470946383346,-0.8983819592720534,0.4763528242123234,-0.2817340728107253,0.4445974305306902,-0.7747803354836936,0.1519557658527414,-2.890327442649685,0.3974391862367125,0.4919725547401283,-0.3116543192672569,-0.7186208551757538,-1.011755678484773,0
从祖母-从孙女,-1.2667483555019932,3.693123409523616,-0.2006764509763652,1.2881006604461704,-1.0737086556458864,0.3024841352007125,-3.4834248001530708,1.1110711056632818,0.7340080684178837,-2.042180323536258,-0.7642792747017478,0.7277113069889738,-1.8343141396398828,1.7253345293303557,1.2731172456161457,0.8649510264612179,1.2630846715369413,-2.0946714569166085,-0.6204180390462183,1.5853383559778085,2.967776107432708,-1.959736577889848,-1.4853846432688391,1.499279458117084,1.038242277573049,-1.0952712763429313,1.398649200284397,0.3429870366946774,-1.035106074300399,-0.8992288606871633,-1.7556060801055091,-0.9518177425196648,-0.3236084090046225,0
从祖父-从孙女,0.7221750251670472,0.5624894300854545,1.4930564927944698,1.0000161800976413,0.8952173682960664,1.0824951130499758,-0.1171689657797616,1.5465735187944187,1.2794048044107411,2.322496653190401,0.4414824394864417,1.4894089295950863,1.3300116849831134,1.3034755747381013,0.2700527021015193,1.132677634142118,1.5618406811500976,0.842001728414045,0.8541987494114601,1.0515514753585216,1.701765036317501,1.0195044568267682,1.415304090699034,-0.5936629963065562,-0.9405738792348144,-0.0091630878755148,1.1143156099754234,1.4452533364711644,0.3739548377033171,-0.6828197516206959,-0.689832161391561,0.4473635815438014,-1.4605473759718277,2
从祖父-从孙子,1.5056902963396994,-0.1998929379642528,1.7490858912714562,1.144058420271906,0.6062007042311928,0.7119898985715759,-0.3646877771307404,0.9150950197542704,-0.6046930108373133,-1.0020002963724275,-0.3623587033056846,0.7277113069889738,1.5488214494517247,-0.2217067995569732,1.513852736059656,-0.0051604485017071,0.0837846335902705,1.1467508325521314,-0.2120626207040918,0.7526308222117203,-1.0977242336133064,-1.4011288838804823,1.9853816453516795,1.499279458117084,-2.469659091313618,-0.7213651786738208,1.2674183124494862,-0.5388260031265122,-1.645699136168676,0.1209855106261839,1.6995642047574515,-0.5437231896678205,1.4117194879453216,2
