"","V1","V2","V3","V4","V5"
"三从兄-三从弟",-0.0397013008928021,-2.20840914616058,-1.35219164852795,2.4904451159753,-0.879201819845337
"义母-义女",0.149210160337658,0.535788684553074,-0.131585915088822,-1.10547550152617,0.183507398632
"义母-义子",0.712095735034282,0.303807970648612,0.0939547712855738,-0.730508210027746,0.546126242062423
"义父-义女",1.54924369526463,-0.928144660240827,0.401293256348723,0.430791440415162,1.73749644167523
"义父-义子",1.4739338272826,1.60915315729304,1.05942183054899,0.46197767329988,1.21190312694213
"亲家-亲家",0.117721083236276,1.03077728371475,-1.63578625514859,-0.874665703118362,0.581534514755539
"从祖姑-从侄孙",0.739454038845686,0.175487277411919,0.992488882402811,-0.48052077295587,-1.21614419736766
"从祖母-从孙女",-1.47278885755769,-1.35441505411371,3.19529811953064,-1.37842810286011,0.71619768015582
"从祖父-从孙女",-1.91122892775617,0.342979084772134,0.153021773779901,1.93808862191692,1.26258971916583
"从祖父-从孙子",-0.623116032706928,0.391863114163958,-0.120063796009133,0.234791760907481,0.138781549077413
"伯母-侄女",-1.09278064592187,-1.3340596047688,-0.329414188008988,-1.88573238668946,-0.161940387880983
"伯母-侄子",0.587916312550669,-2.00647761305939,0.969103484877218,-0.352330499375101,0.313109825226779
"伯父-侄女婿",0.355802500411905,-1.73276093525379,0.646738380637934,1.69305974253701,-0.441700359305107
"伯父-侄媳",-0.173600403403724,-0.1693815333909,0.166731343001024,0.362793659443172,-0.0811021394823802
"伯父-侄子",0.24577025269088,0.519980803109715,-0.0101925678738035,0.799691753555948,1.24673787474064
"兄妹",-0.0954130237880448,1.04837290296098,-0.0345893712262392,-0.00524195189842408,-0.881620153202461
"兄弟",-0.228604312417037,1.1607872104334,-1.18200229527485,0.0763190037557482,-0.179554312789021
"公公-儿媳",-0.355038020491338,-0.267252189511504,0.63690597335741,1.51218484837592,1.45676853793524
"养母-养女",0.306065092801487,0.560858981052062,0.016634402345073,-0.0664648839774161,-0.385057131647101
"养母-养子",1.88293997873762,0.376250827649767,0.980515598751472,0.138506875912978,0.278362058079
"养父-养女",1.43854732216399,0.440575014178624,1.15750445852534,-0.0144198335878917,-0.188177920126594
"养父-养子",-0.522803846541946,1.1192148944775,2.02857323752274,-0.568760043576305,-1.35578374094411
"再从兄-再从弟",1.18443809242712,-0.175630160287249,-0.311536220239681,1.11337698616401,1.46048628148192
"叔-嫂",-0.47215023685801,-0.769445478040177,-1.12582926407014,-0.815447199780881,0.966713951737817
"叔母-侄女",-0.68638491110587,-0.492902433553385,-0.116402462711906,0.560403737140282,0.35945916910812
"叔母-侄子",0.0463770385965571,0.348870987975563,-0.0869818955606084,0.570779713611273,2.04790088388982
"叔父-侄女",-0.183454278540219,1.17529760268756,0.302729372192864,-1.82643104178273,-0.689309725524117
"叔父-侄子",-0.325012610271631,-0.362890821057129,-0.416073427933035,1.28862138239483,-3.0954945214207
"同母异父兄-同母异父弟",2.18171318338386,0.894134629907512,0.401818809243185,0.644717519792476,0.726388732805092
"同母异父姐-同母异父弟",1.02483817289345,0.161042276642332,-0.386251192791263,0.00602979093114919,-0.397723751761896
"同父异母兄-同父异母妹",2.23336599603194,-0.0544786886460765,0.264972469695362,-0.458970314683481,0.561476797103581
"同父异母兄-同父异母弟",0.501554737214168,1.0500668055051,-1.19064804812372,-0.91879972411308,0.270411181874028
"同父异母姐-同父异母妹",1.41297891727505,0.429976802099081,-0.385729129450809,0.110782615376676,-0.0235042078204664
"堂伯-堂侄",-0.172713650462284,-0.104386168752554,-0.685815001304922,-0.0669049636339127,0.0236514788510831
"堂兄妹",-0.277329637104071,1.84672370159032,-1.01844075697142,-1.19611750412612,-0.913217990473047
"堂兄弟",0.672837243119533,0.132079896430182,-0.949273327058961,0.97915569315131,-0.532879924156971
"堂姐夫-堂内弟",0.0982181234127291,-0.999128781012395,-0.459479106984409,-0.123732966607377,-0.755919093014542
"堂姐妹",-0.67946596039282,0.131028757676736,-1.42952739205017,-0.372303543977785,-0.319902565408093
"堂姐弟",0.235428423780642,1.13239179465738,-0.678201923900009,0.59480164965573,0.930475990561617
"堂祖母-堂侄孙",-0.298042547259566,0.131051838053604,0.894720618845714,0.483049438959042,0.812433621840335
"堂祖父-堂侄孙",-2.19063947908598,0.53231050098804,-0.69618576516917,1.6045263739177,2.93713425546823
"外曾祖母-外曾孙",-1.29499599811249,0.674868817594598,0.0856812308059853,-0.0317070900746981,-0.320959106325856
"外曾祖父-外曾孙",0.782562084786705,0.394297124382388,1.58417458604848,-0.975022441004821,-1.32419493733118
"外祖母-外孙女",-0.838074559179581,1.62893732334683,-0.379578099813974,-0.855822230497374,-0.561490523051635
"外祖母-外孙子",-0.772203907443741,1.00756546422874,1.20826780924894,-1.21419532463056,-0.343794242332381
"外祖父-外孙女",-0.45021411714849,-0.322446813404877,-0.0465469069196758,0.0101238988791541,0.00133293528649017
"外祖父-外孙子",-1.10259177497579,-1.15107882838484,-0.503335564987468,-2.609222071772,0.575799824239563
"夫妻",-0.0594574057092034,1.77084433162701,-0.734687928430983,0.463707493298204,0.452200484245094
"妹夫-妻姐",3.33977625456404,-2.20891947774615,-2.00657427853652,-0.252790582938357,-0.239268165790956
"姐夫-妹夫",0.751199762083295,-1.3936987868714,-1.54804341791905,0.631842731883492,0.0678452650537376
"姐夫-妻弟",0.249710005713353,-0.218432418210222,-1.10575137689648,-0.105972495600206,-0.635881987388422
"姐妹",-0.282018802843407,1.16156505199798,-0.528937881646767,-0.206291946073243,-0.24470797292497
"姐弟",0.296908892799325,1.20207433491873,-0.302963825176475,-0.121987528059194,-0.581695094946607
"姑-嫂",-0.361092686537723,-0.748475483185955,-1.34282709130483,1.68748239454823,-1.67450953015559
"姑母-侄女",-1.57152643898403,-0.484002574397716,0.20252268224887,1.11182502134457,-1.46600634542524
"姑母-侄子",-0.667036146048896,0.223059267351623,-0.141659185037585,1.83539826255169,0.483928023505316
"姑父-侄子",0.681825062466282,-0.855863236747268,-0.115587944384821,0.140346370867883,0.79814134335557
"姑表兄妹",0.874740855647609,-1.0506640368552,-0.288906640021627,0.585073516891306,-0.269663125346927
"姑表兄弟",1.11495159913713,0.254332997931317,-0.317949429222536,0.224078468057471,0.863353511919221
"姑表姐妹",-0.556663887650127,-0.28332620254773,-1.07429737290603,0.584736777522108,-0.412172689254949
"姑表姐弟",-0.444673418313815,0.00990199186307517,-1.01136706323926,0.387444546385196,0.42496172814079
"姨母-外甥",0.10284902641498,-2.0546793074531,1.3451401763443,-1.03875004152769,-0.0753207491795032
"姨母-外甥女",-2.79928525908488,-1.43820806685574,-1.21973029637408,-2.18527596953567,2.36514803303658
"姨父-外甥",-0.724669478915589,0.183691793612957,0.0974414551716668,-0.447400401806285,0.538834846838828
"姨表兄妹",-0.182226800798262,1.86783131693793,-1.01587041653063,-0.940637103950555,-0.575577929543994
"姨表兄弟",0.108017124653386,-2.00160442813158,-1.39870021946899,0.757526792134546,-0.0863565970957032
"姨表姐妹",-0.300361061317237,-0.22897054745069,-1.07087944159107,-0.548158517563078,0.0279335767592888
"姨表姐弟",-0.137147273451102,0.51591151044719,-1.53705794176373,-0.0196306284244192,1.03668398740212
"婆婆-儿媳",0.241904147593902,-0.16018047973394,0.45061153999487,0.939606317052742,0.499896840246075
"岳母-女婿",0.796397217243828,-0.488696921854579,0.495858026351821,0.586870918752661,0.733496600197727
"岳父-女婿",1.1816519107098,-0.108335449384315,0.750047690325122,0.175600447186562,1.60035881140233
"干妈-干女儿",-1.51595958683139,-0.943322729651143,0.503109944483178,0.890391547725455,-0.737268548003663
"干爹-干儿子",-0.86774366677437,-1.40630478306807,-0.68888816241827,0.676576250043776,-2.17955333608443
"异父异母兄-异父异母妹",0.582796543312549,-0.233496072898923,-1.46209486316809,-1.05325863897813,-1.36518724101268
"异父异母姐-异父异母妹",0.996939955170753,-0.44995312076357,-0.21676194896423,1.29778668616895,-1.66001570665493
"异父异母姐-异父异母弟",-0.0997997015494835,-0.174597396273407,-1.62994700450106,-2.65271945502623,-0.453344419030958
