"","表嫂-表小叔","表叔-表侄","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","伯父-侄女","伯父-侄媳","伯父-侄女婿","伯父-侄子","伯母-侄女","伯母-侄子","曾祖父-曾孙女","曾祖父-曾孙子","曾祖母-曾孙女","曾祖母-曾孙子","从祖父-从孙女","从祖父-从孙子","从祖姑-从侄孙","从祖母-从孙女","从祖母-从孙子","兄-弟","同父异母兄-同父异母弟","母亲-亲生子女","母亲-非亲生子女","同父异母兄-同父异母弟","同父异母兄-同父异母妹","同父异母子女-同父异母子女","同父异母姐-同父异母弟","同父异母姐-同父异母妹","弟媳-伯","夫-妻","夫-妻","出轨者-第三者","夫-妻","父-女","父-子","高祖父-玄孙","高祖母-玄孙","公公-儿媳","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","姑母-侄女","姑母-侄子","姑-嫂","姑父-侄女","姑父-侄子","亲家-亲家","继父-继女","继父-继子","继母-继女","继母-继子","继外祖父-继外孙女","继外祖父-继外孙子","继外祖母-继外孙女","继外祖母-继外孙子","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","继祖父-继孙女","继祖父-继孙子","继祖母-继孙女","继祖母-继孙子","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","舅父-外甥女","舅父-甥媳","舅父-甥女婿","舅父-外甥","舅公-甥孙","舅母-外甥女","舅母-外甥","妹夫-妻兄","妹夫-妻姐","母-女","母-子","婆婆-儿媳","原配-第三者","三从兄-三从弟","叔父-侄女","叔父-侄子","叔母-侄女","叔母-侄子","叔-嫂","继母-继子女","继母-继子女","堂伯-堂侄","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","堂姐夫-堂内弟","堂祖父-堂侄孙","堂祖母-堂侄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","外祖父-外孙女","外祖父-外孙子","外祖母-外孙女","外祖母-外孙子","兄-弟","兄-妹","兄妻-弟妻","养父-养女","养父-养子","养母-养女","养母-养子","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","姨母-外甥女","姨母-外甥","姨婆-姨甥孙","姨父-外甥女","姨父-外甥","义父-义女","义父-义子","义母-义女","义母-义子","姻伯叔-姻侄","原配-继室","岳父-女婿","岳母-女婿","再从兄-再从弟","姐-弟","姐-妹","姐夫-妹夫","姐夫-妻弟","兄-弟","族伯叔-族侄","族兄-族弟","族姐-族妹","祖父-孙女","祖父-孙子","祖母-孙女","祖母-孙子","祖先-后代"
"表嫂-表小叔",1,0.512096683646938,0.0743543909732143,0.0364462080206097,-0.0486794227174958,0.0491761265256562,0.0244000266477914,0.35145938118626,0.190210892455844,0.207407093596666,0.119695333982501,0.238854414753962,-0.0907310472840692,0.388202362218085,-0.0119454078681337,0.104947279491155,-0.304553908095693,-0.281186962440989,-0.120720789983428,-0.162067132016528,-0.0847401370661873,0.217526897756946,0.180094167356347,-0.403927453130055,-0.0972928209339404,0.150966170839349,-0.0571307942411703,-0.129312766078332,-0.419434059211464,-0.530589312992012,0.567389235216249,-0.294119008116997,-0.232928659294432,-0.497608985477482,0.031083671414634,0.0508308773782379,0.464684721755783,-0.0680959317935309,0.0625696199844766,0.0261522075049592,-0.396167885765436,-0.231054222720889,0.0670252844846261,0.115086770306938,-0.345863020553952,-0.423519579706581,0.655473791144673,0.0410970523643254,0.098874505132282,-0.362971320956812,-0.248172114185572,-0.0728487816003766,-0.449938225276628,-0.330650684534973,-0.248559666012363,-0.39675725150182,-0.31984008781163,-0.208751606546186,-0.026704290979767,0.0122389782558329,-0.038451010499067,0.0501339774637003,0.477603013209966,0.548298612299781,0.233404078972971,0.0929998447289384,0.36284970230083,0.195629136094496,-0.422029111693261,-0.22828600126426,-0.298900892149571,0.453534484076882,0.215390302249438,-0.0207479400471828,0.469817354097284,0.0585327427245655,0.133947770156581,0.244998253083582,0.329905968232847,-0.0817276706689033,-0.0850295549686798,-0.313941909549403,-0.0126778950793792,0.0156045717829846,-0.173041134390032,-0.261709236738524,-0.145228051494979,-0.361183098398671,0.314534781985048,-0.0842747946071542,-0.135063455770236,0.602196782907716,-0.286449145369922,-0.198383608879809,-0.414739637607288,-0.0931234487415549,0.507695994558758,0.429445962016981,0.473251443904147,0.18926644931171,-0.119584956647463,0.0779082136357331,-0.378261267956213,0.139275085439718,0.0235993563807413,0.046960655240288,0.0168581290127119,-0.335079210878866,0.0310760470444007,0.0217178928655656,0.194144883419334,0.132039432008193,-0.013273161250806,0.0389682000329244,-0.254821289109664,0.0956696886801679,-0.429008027574604,-0.183391867449986,0.561261294074602,-0.238241841794778,-0.286036912759974,0.316761161975768,0.337552300376443,-0.274675648152043,0.133048939375192,0.43910650768937,0.312771978418916,0.275599649236837,0.115606362794442,-0.115447540868604,-0.0826789228182224,-0.104030980662344,-0.399966095521231,0.630084523007405,0.341847794987089,0.429555787317289,0.39172478828209,0.372120239896734,-0.10229484735959,-0.423976844542138,-0.212747746085248,0.0363678084575136,0.199728090299272
"表叔-表侄",0.512096683646938,1,0.256132217167543,0.00949552322197535,-0.093055389375267,0.216669217789872,0.165320621512431,0.294116041448274,0.024477659844764,0.298856952427355,0.34672023145289,0.134583505565709,0.141153050860038,0.511228653881103,0.191715288221122,0.141966687609608,-0.331241586541064,-0.208782213163484,-0.0782481862260216,-0.324195527798456,-0.258532617152392,0.0707002746574774,-0.0284256732957895,-0.300119681742254,-0.21116063051355,0.124175565036129,0.0921986343443442,-0.0204711296092441,-0.417256209436871,-0.391629735393147,0.353322391721003,-0.399801860457788,-0.159391916614276,-0.280120649260534,-0.181247357438142,0.109899704657853,0.368841896849201,0.0531320130667145,0.307090029119259,-0.185991186732551,-0.262021556410071,-0.0792391617156683,0.269718090082903,0.246240846450064,-0.255436493021318,-0.187463508238869,0.576177895017144,-0.0990087669668236,-0.0171533968460768,-0.17542911224943,-0.0752303227900542,-0.143612482171818,-0.286778504356235,-0.342638254240258,-0.0953752070915911,-0.218449434162529,-0.0519625794859646,-0.136490055288153,-0.215761951870153,0.0530571259535039,-0.150485925873887,0.0313833598564775,0.380805195581171,0.394230869723186,0.1799117132865,0.00123336360225721,0.128608137611871,0.129292143672096,-0.360407548077204,-0.312552015794263,-0.159505298841868,0.2866664471842,0.139096353652288,-0.16112108433038,0.526393642131718,0.0671820501731139,-0.00410964860199847,-0.00759363823982457,0.465406801674105,0.0961833658742142,-0.0587673847340929,-0.179278424272684,-0.219520211953121,-0.117191203553847,-0.247955902759902,-0.242666024055272,-0.102431326340287,-0.223886275325986,0.505645036295371,-0.277446986663324,-0.318046542579238,0.68716352041729,-0.185125438020478,-0.244164435799509,-0.36798420164008,-0.197459694534398,0.638733269150704,0.338124778452781,0.148945781635528,0.0244443217513238,-0.0532289212722291,-0.0315847955487795,-0.357269961199758,0.0950682385943808,0.103140801802152,0.0565906272457061,-0.0108984770113898,-0.343830947478859,-0.00871902291572034,-0.1119575809917,0.0657397065358415,0.195082539653295,-0.0677776688647291,-0.117979045993391,-0.125699665153197,0.14915941346728,-0.206668933405659,-0.0757156755156888,0.345951628643288,-0.0801152102392479,-0.26109220306597,0.274248747135852,0.293498945432514,-0.256104203825983,0.141833034792037,0.401115899987012,0.208018453344118,0.37940860940722,0.305816328688088,-0.180262169786967,-0.0222307464952224,-0.0826186417723247,-0.515764712393903,0.359286299074852,0.00368209140056413,0.172224037916963,0.473758087095139,0.303058611323822,-0.256736915553011,-0.163587231149089,-0.151543110179964,-0.0121908524049373,0.0655691843672235
"表兄-表弟",0.0743543909732143,0.256132217167543,1,0.684801493620601,0.305641348255417,0.78700551369683,-0.126682447219797,-0.354629462629576,-0.299247533656116,0.318933254743078,0.262872981321725,-0.178426821592849,0.536887400638743,0.0810663323187624,0.638641515077339,0.218455307424722,0.0294060155339868,-0.0880742135797763,-0.140770018780751,-0.180553098611259,-0.428285151963522,0.280963587627242,0.445119296964434,-0.294264866349318,-0.44253677819095,0.418379474132108,0.669592356056751,0.360552649014859,0.0482836179321405,0.0259349692869852,-0.00542341177969811,-0.142825351941449,-0.308294872216721,-0.306305996013983,-0.281327811487989,0.480664896603874,0.0976068438596973,0.26446879263887,0.612003543175655,-0.0392237804352614,0.127596927837461,-0.0443699469601721,0.84648567363916,0.371059546421345,0.17232216650458,-0.0223703713240209,0.0854876670316563,-0.358439722658334,-0.168118724839903,-0.117036736256553,-0.0938503112229654,-0.387980591552188,-0.0706445442354651,0.0306878401331741,-0.157171285833735,-0.131889491054145,-0.0779470522580635,-0.0502103447483631,-0.364119350497071,-0.0610327971733291,-0.193411755410106,-0.184972445823249,-0.0445447297881713,0.0187831764426759,-0.267208843215927,0.550601497885248,0.235323104173669,0.371337831630674,-0.0481461268779111,-0.0225159543197844,0.114007471454989,-0.339222800790785,-0.254922047882869,-0.213599110694239,0.255425381923149,-0.0290920135931364,-0.167373134765045,0.498033976762694,0.279136798351359,0.608874694496182,0.333876214278743,-0.161230859921037,-0.368593832650475,-0.219745052338203,-0.247076029132869,-0.433002262302667,-0.426504643750415,-0.375260324457087,0.179136874927827,-0.391591227418392,-0.422842900433871,0.284714205936912,-0.208318956406418,-0.359018119674684,0.0188071178858578,-0.269726291652001,0.127911455840498,-0.302739689712783,-0.357997857449903,0.5245683882772,0.241844791231449,-0.526370397906364,-0.0519529950957856,0.417822574993171,0.492340586108857,-0.0830306654725598,-0.150482615425664,0.0492383682186879,-0.19057692462102,-0.298997033488601,-0.0904564932473428,0.363667105162715,0.236599854244919,-0.178877887300888,-0.0831173907885211,0.632724919238139,-0.0365837671617868,-0.130468554876068,0.0641005521837552,-0.076090853989427,0.100882122775577,-0.0702152286050656,0.315826582655543,-0.279717237699122,-0.181323150505851,0.120961720066391,-0.161693873217168,0.201479677850252,0.127607562447772,-0.348542835136342,-0.00067813561749429,-0.0636128231515641,-0.00657566206091385,0.105452612049792,0.399991919267303,0.180781971656755,0.172118460287367,0.181210787531171,-0.553363967672405,-0.170934666099908,-0.439675745081294,-0.263704492523305,0.0907735888538536
"表兄-表妹",0.0364462080206097,0.00949552322197535,0.684801493620601,1,0.33401698013444,0.589152912055331,-0.227266497944499,-0.318170358006069,-0.0791536934310296,0.250514258047053,0.0876868934734702,-0.169396422595268,0.637320977119944,-0.0330355741054154,0.424061361572743,0.37886838487012,0.144805167608833,-0.222827274455992,-0.100404242104392,-0.134914895143847,-0.333054686448438,0.434833549797275,0.641982066021485,-0.337237624310608,-0.333674904945024,0.167536851714414,0.693683528381902,0.358065185716477,0.126746318288309,-0.0896321764980012,0.051421733663937,-0.0448535949229523,-0.154544518007643,-0.321703383190449,-0.128571254877471,0.542116621623987,0.110055287826161,0.165870294822455,0.360494839603794,0.0679110127360414,0.186428055899726,-0.0709096757794666,0.598141330577528,0.294220154428035,0.224113754354397,-0.054518904236358,-0.0291442233818327,-0.283213392792838,-0.185823056749929,-0.175076715823334,-0.110348056359842,-0.354720940534805,-0.106096403637509,0.0921241165270608,-0.24405252126639,-0.195797879732902,-0.0780269552561219,-0.0480521884721301,-0.233166425759265,-0.221806912637058,-0.0723670641405632,-0.329014117699531,-0.0242922976249519,-0.0128955998090227,-0.348129539955783,0.656348009131332,0.398389079352863,0.5759212850619,0.0420672094867456,0.0157843502380061,0.14591936765461,-0.343461153383779,-0.0575587736839646,-0.209124345112628,0.0348052394438734,-0.273526020387966,-0.280529684685926,0.676057487213853,0.108708336924499,0.553412075019569,0.446483089111253,-0.241225436683087,-0.112569862288043,-0.170823466556298,-0.179812623714054,-0.493176933724364,-0.407928181641026,-0.442969431011388,0.0136346104460003,-0.305182644434641,-0.315459332887859,-0.00136264616971847,-0.329653105278546,-0.25763643520816,0.0750599019025185,-0.181560193853487,-0.0618500854590603,-0.310917133987933,-0.246859611796248,0.683766416600378,0.219438022520615,-0.459530607346341,-0.0325776238327458,0.650175315843102,0.516663093194985,-0.276953446658565,-0.312649325968468,0.14533086126284,-0.314524253811591,-0.327406486242258,0.0721602156349665,0.260086845124731,0.223732082540304,0.109364723268284,-0.0407182381014611,0.49634542380873,-0.0560108521489881,-0.164097990378809,0.0355095730723817,-0.107624090511307,0.151374239664319,0.0216750229322584,0.196979342127629,-0.141648338414409,-0.0607599209472499,0.230848206499827,-0.148407940758352,-0.0629273211482098,0.031691656183115,-0.185848542922472,-0.154221665781958,-0.00311299657762018,0.16387143891557,0.262547248850375,0.555023073221729,0.16979014307406,-0.00477694881882104,-0.0016479256929233,-0.320477343963077,-0.243442860990059,-0.533316831242032,-0.325644840838022,0.257742894957306
"表姐-表弟",-0.0486794227174958,-0.093055389375267,0.305641348255417,0.33401698013444,1,0.401596204326709,-0.211889181140925,-0.400825816737332,-0.457625293744643,-0.342610763650924,-0.294464813079052,-0.153461082126672,0.0945490790677349,-0.223079129730029,0.0399930402948298,-0.028930186230586,0.479945173675505,0.305969618551268,-0.502746575701331,-0.0927018492091554,-0.294671027510929,-0.144854550258517,0.0569240813023966,-0.0472823856954291,-0.294076532432456,0.183052065381037,0.0364318355867912,-0.174582409168626,0.439549229651204,0.333657577064639,-0.0763802391370392,0.355367707094674,-0.22304480519198,0.00855681369524886,-0.458997305287668,0.103272832947792,-0.0391188094160779,0.669472464514313,0.183921859359409,0.60847257082178,0.440568334550783,0.423972894431515,0.257381699892173,0.0404822456330419,0.460098702763078,0.169613934347093,-0.0276533893914261,-0.400308885074845,-0.505775694525849,0.311046890772188,0.0254130811486711,-0.100702507091774,0.223898117826817,0.382181251865943,0.257407412079356,0.12514590135405,-0.359538993593434,-0.375241956993647,-0.477419209023473,-0.170644045196229,-0.506764896859896,-0.194822996794469,-0.101325414287359,-0.150691417091746,-0.364711227139687,0.10100652584868,0.164404506181132,0.00422692989685256,0.364478443399826,0.549258796262165,0.381833774585586,-0.430586676591394,-0.471024441704496,-0.0747068524240196,-0.234041887050374,-0.1921514299602,-0.102523106689081,0.175712234150143,-0.201227375238967,0.164025258095738,-0.0635971131208965,0.276369738499401,-0.308709772791029,-0.367794565578513,-0.111453541052576,-0.132117028749159,-0.161139159046759,-0.120116035304562,-0.146381598813284,-0.0959496638001719,-0.070601459937625,-0.119885372315205,-0.00955135145323133,-0.200354610981363,0.368630146254943,-0.0864044780431582,0.00527223637412561,-0.291005374773171,-0.399060438273175,0.3049988083481,0.788945649247895,-0.352676785668191,0.205404852864657,0.0493564669421881,0.0584544724592458,-0.214317047895031,-0.182152186421754,0.533493170184051,-0.197351384216956,-0.158703106157234,-0.217245955917872,-0.236934296577523,0.848471407873737,0.058209223221935,0.375181204962134,0.0983226032523256,0.186837223219567,-0.00656876592749648,0.103516141909955,0.0404597359903946,0.395177013057092,-0.261854816415975,0.0611895771520099,-0.382705890259321,-0.151521114423403,-0.106673465214177,-0.18423297880437,0.30303508694987,0.476803184712183,-0.265858908839336,-0.4169761205068,-0.464003939895024,0.479633367656935,0.111667481613855,0.134924508858216,0.107086066122499,-0.138156527359399,-0.187459335273967,-0.405446557489937,0.200540345851463,-0.115135357314757,-0.149635413553502,0.087160915000923
"表姐-表妹",0.0491761265256562,0.216669217789872,0.78700551369683,0.589152912055331,0.401596204326709,1,-0.150609599171497,-0.360472039216766,-0.361714563433948,0.161918152934607,0.211117290749372,-0.1921315618676,0.424053878047742,0.0521710377993787,0.547786366440471,0.121020318053422,0.0909585098222575,0.022806643307334,-0.245591471997084,-0.136352350968418,-0.43225584334299,0.12115854425897,0.264504460633699,-0.195601120598756,-0.447806786817056,0.40165171121527,0.525086062692042,0.192374496669646,0.0593697260286325,0.120583649794743,-0.0413906288230536,-0.0800157608374432,-0.336618136290195,-0.193311544486616,-0.374851712202421,0.379398908235761,0.0518838179639097,0.334552123986728,0.641611900639131,0.0366898385081856,0.162581885039904,0.0242089513920735,0.742819863183573,0.37642148997404,0.131342203639169,-0.0437634203421655,0.0772295941426478,-0.32878750717274,-0.288846069963202,0.000748007293174597,-0.0846432898673275,-0.349654061191918,0.0213074916978061,0.0357908823397625,-0.0625575865829572,-0.0298948107959105,-0.168990814310621,-0.146156614423734,-0.454289423767751,0.00357604234921943,-0.221281038588642,-0.081237420112982,-0.0356517350942737,0.00964255946501152,-0.266596153297681,0.389776665868668,0.179456952434287,0.291899453060343,0.0173584324635538,0.120869641469631,0.108567514236826,-0.322459508626833,-0.293859428568251,-0.144327124068975,0.235002576090491,0.106589187087468,-0.0334400579368768,0.352392644372296,0.190570212811231,0.529294363170894,0.172642659211779,-0.0706200701784654,-0.408182978232879,-0.298235430219238,-0.221198484763723,-0.371222996104002,-0.343874973752092,-0.302719723651785,0.135141017238097,-0.341978618826582,-0.34130740956728,0.192032030319651,-0.171530341196513,-0.385261598919932,0.0448227025941442,-0.281596512134252,0.146054587630898,-0.314028876511577,-0.388131229950479,0.418466300397817,0.351094636070017,-0.491365096669388,-0.0285512594848871,0.340709126730917,0.352623938249792,0.0421940135653784,-0.0511341279433981,0.0789143829403902,-0.106847955459077,-0.204619696359009,-0.142143176972258,0.247928357106966,0.352213530250969,-0.165690350335415,0.0178439191371113,0.548048038603793,-0.0358625618086836,-0.140300186325397,0.0477394297157143,-0.0680526192851913,0.0641610851940248,-0.0605908060472734,0.374784367858067,-0.378845666427546,-0.159949834559841,-0.0386632988000826,-0.145285163923507,0.280089640093245,0.251747928786139,-0.474484031576301,0.046966913954444,-0.0811226037806816,0.0584983908928296,0.0408787390539837,0.249454260463444,0.176162251872676,0.139606472470651,0.195795762275412,-0.559919753545569,-0.127512667635715,-0.325588553928678,-0.127963458135806,0.0181251658078821
"伯父-侄女",0.0244000266477914,0.165320621512431,-0.126682447219797,-0.227266497944499,-0.211889181140925,-0.150609599171497,1,0.266156404857498,0.164230357401499,0.288631657872193,0.50948431257184,0.743751436764822,-0.158807447697822,0.198728437158827,-0.238612627207389,0.0306859129085272,-0.413720093376428,0.0808971363677579,0.248103117325158,-0.452804545672904,0.0726442599795518,-0.387697635140942,-0.346664103694843,0.262869580984195,0.00623200497360786,-0.0987004477481115,-0.216166350592674,-0.282364289533224,-0.248127110160165,-0.0159753198267631,0.187169350106695,-0.305008586874938,0.19698622620099,0.265198711100553,0.157734733444633,-0.125249540086149,0.16048352120521,-0.0715449825324469,-0.125315085643285,-0.184452213554681,-0.278148404999845,-0.0931726738116368,-0.054605885459831,0.530816712132822,-0.159254000752671,0.0137087572390218,0.187991309569085,-0.146670433613068,0.303391480183756,0.127869865236603,0.0772518081223463,0.0187614164071419,0.113467424688564,-0.122924327173986,0.162555541859205,0.129224241093658,0.362982342800249,0.217759384395231,0.165023816706993,-0.265981090331408,-0.276879303730401,-0.247897109238957,0.187178377964943,0.287802204119043,0.621264611936425,-0.321713069216422,0.142290886367741,0.0106075324410181,-0.315101043236919,-0.255943351538016,-0.0868005476840263,0.338651092700821,0.102284495106382,-0.458153885971209,0.328818248442162,-0.193018544502675,-0.309631198466257,-0.37805607420225,0.282808455792581,-0.00249091232486433,-0.113096493284278,0.086720385196354,0.0656473120012613,0.0873988012101061,-0.460746784513768,0.0878258072787893,-0.0716258651004892,0.0395252258996901,0.151768410025648,0.184669263340728,0.229506877226896,0.194611456201409,-0.0287343606472592,-0.0800446097076546,-0.129575210222182,0.0858714910685812,0.307635598848136,0.460584537464069,0.231929319493933,-0.189409067133442,-0.304233559011711,-0.0149433232562008,-0.250594339319823,-0.0342109567857178,-0.0133818289984212,-0.229513987423766,-0.244441971614884,-0.333164150346696,-0.262165279727031,-0.348369515939528,0.285020850742357,0.391108648235723,-0.212162073510924,0.0248909146883795,0.164174044156614,-0.328620010622532,0.0431101360074182,-0.325051181160256,0.266024712882951,-0.296132070966728,-0.184406584535352,0.33781303303698,0.392656017147516,0.180065106047694,0.452321234947927,-0.203518548039421,0.399129717500453,-0.316880637377463,-0.177304065305427,0.138170573351877,-0.144383493996302,-0.319858134586192,-0.304456086472968,0.0160001932138259,-0.256925528445263,0.214993884219421,0.483198924595799,0.448128484690131,-0.0836163330886218,0.170429757093868,0.111954669738713,-0.368542659166823,0.28271855044479
"伯父-侄媳",0.35145938118626,0.294116041448274,-0.354629462629576,-0.318170358006069,-0.400825816737332,-0.360472039216766,0.266156404857498,1,0.540182152796932,0.106071476270932,0.186424490052373,0.389671406193005,-0.0491107428673819,0.392396076083469,-0.2753195042376,0.0686284669276016,-0.440062683626085,-0.430772950305798,0.249286853526719,-0.200419811769266,0.204389650093562,0.0380043874033382,-0.165213530739834,-0.10576009803781,0.343855581953156,-0.192467908892146,-0.217128013028642,-0.0149215288180689,-0.50783680332211,-0.464161004834538,0.391463195518348,-0.425180877823444,0.323977480837777,-0.0531910712527858,0.197562080255112,-0.26197444233851,0.335697215330197,-0.357610518403774,-0.243624757856303,-0.27745514145393,-0.487515204207355,-0.242242486604616,-0.248474978114401,-0.0653873474303747,-0.5026896867178,-0.479594348076937,0.383853234326824,0.223366084086759,0.242099994908556,-0.352677127945851,-0.277285729359785,0.281009364545457,-0.244135096207011,-0.346695196010144,-0.119276552494125,-0.240807252193182,0.288212699328005,0.290934802055686,0.191128848729204,0.0692299924008568,0.0747161006965246,0.0602495550345282,0.497999373037168,0.391519217069568,0.492577733033241,-0.227948770002406,0.167127548615686,0.0291427322446663,-0.48072033012902,-0.417063490508727,-0.505705950072442,0.722156685312533,0.558377576581872,-0.0983252306559441,0.304046724035842,-0.0285138614677211,-0.0735378480605125,-0.232669552506028,0.273334891872817,-0.405680318304819,-0.139412990067842,-0.23060509255235,0.177644380042504,0.0908666361248423,-0.0518919990021616,0.0255527022477758,0.29952653140492,0.105632230081794,0.315187146633789,0.0995530739583278,0.0806267924242208,0.38789549491008,0.0352585224814398,0.335100290958776,-0.396616751143911,0.2650709639927,0.204260461967065,0.36822707883323,0.632294276920999,-0.216218771407864,-0.393705451796804,0.422269650673347,-0.258850968969759,0.0763197954344645,-0.240375100902265,0.0208352128826969,0.0133197429294389,-0.444032475555727,0.0516810917595259,0.0108938566809592,0.421587998160266,0.139396057100906,-0.387792215287757,0.120482920856807,-0.304179525619014,-0.171684340672135,-0.466516831493725,-0.240193537700262,0.194331807921229,-0.266543014163551,-0.50473025785554,0.375562203529612,0.213904432096415,0.264827770120127,0.45298695637267,0.307531118099328,0.539020278663693,-0.0876680108489632,-0.199243802347637,0.235141878658933,-0.0804671623031999,0.0197723853208009,-0.486630299089887,0.321795476030653,-0.212385662132753,0.131910342353089,0.245711731488254,0.322776857128421,0.383429864742492,-0.183965720413281,0.0285495676505745,0.0520654734772883,0.117960110752783
"伯父-侄女婿",0.190210892455844,0.024477659844764,-0.299247533656116,-0.0791536934310296,-0.457625293744643,-0.361714563433948,0.164230357401499,0.540182152796932,1,0.250842160491241,0.187473443264561,0.30847950639218,0.140878116521049,0.188178620490984,-0.146436891082947,0.343869565685761,-0.340694586719662,-0.473491032995326,0.227270337256937,-0.177824363943406,0.23148224164892,0.128293416173232,0.0704989931896172,-0.155323325715586,0.171016717500136,-0.187081883714048,-0.046752810958559,0.23237215500003,-0.283329504966773,-0.336455827248158,0.435977167449297,-0.203437940717372,0.356865829843985,-0.11558239550231,0.211499546015939,-0.108495447984293,0.238473947997954,-0.412180824832205,-0.263660691634963,-0.185305016483735,-0.318370867249482,-0.322889152789309,-0.174320805317714,0.0488667077099638,-0.382409108230636,-0.321553378419754,0.0683117129629617,0.12360386024864,0.33768846228555,-0.386765486886336,-0.204747899561474,0.008975473665509,-0.359442555464615,-0.360753808984957,-0.310187288963154,-0.400601625703511,0.412995888929219,0.178635494359136,0.245721996799403,-0.195520180343475,0.174753671069003,-0.175994936058888,0.499011129958327,0.371941269584651,0.264690087252803,0.0366109534536753,0.346417685508914,0.306373139394218,-0.298925743866738,-0.284307264495374,-0.382651999331922,0.400036892797116,0.695811057568561,-0.179807639527814,0.121278023706094,-0.291469071787565,-0.277573147841428,0.0702388168070537,0.217218643970563,-0.0631516416972721,0.154924187087434,-0.168586236411502,0.212637207724235,0.0111082080057582,-0.0460902918063473,-0.0222206503083362,0.128225636507352,-0.0163682223907358,0.15547672138678,0.0768525144508271,0.103045119515967,0.0475327326036338,-0.161952017078108,0.201307977622376,-0.288251498133639,0.169205263393972,0.0173837817524785,0.234316456128888,0.526720653663975,0.0120087597233474,-0.441559030021733,0.387443878168729,-0.244475698396852,0.3212978675575,0.0719938245452625,-0.223478587741696,-0.185786955771175,-0.269144961610318,-0.148651779857307,-0.128305320659535,0.369022505308622,0.158286059768155,-0.450326254273534,0.165708060677652,-0.216508489251129,-0.113273446610113,-0.281274514172675,-0.176308690667755,0.250806285219166,-0.144241174372658,-0.401436617207174,0.286623257542546,-0.030856220249356,0.394201059753952,0.478654283182211,0.387256167111555,0.309863322600475,-0.235684198710327,-0.228098842801449,0.299442437598283,-0.0921715844243129,0.0837476021304405,-0.251120692370389,0.386475623847633,0.0699611395609767,-0.004382530410333,0.0996484072965481,0.229110899034911,0.477899656933254,-0.162918660615247,-0.0689359708000233,-0.129860675392647,0.362338809399409
"伯父-侄子",0.207407093596666,0.298856952427355,0.318933254743078,0.250514258047053,-0.342610763650924,0.161918152934607,0.288631657872193,0.106071476270932,0.250842160491241,1,0.549670510520714,0.186876056762266,0.315130393821331,0.330679271771275,0.278023283966388,0.334274171129293,-0.276143134619002,-0.28403669100357,0.435136486258623,-0.402801362238673,-0.11161404835825,0.0768323476635425,0.10375328321991,-0.219522505169318,-0.195766238946103,-0.130230068343427,0.353995691744206,0.0192691465745315,-0.257491171799768,-0.306050392924961,0.134828857377912,-0.263291738399535,0.119398278400346,-0.287879662868809,0.378413173733641,0.349961813105183,0.287039740568982,-0.205720375974973,0.245615211540241,-0.429719344597949,-0.141410332530364,-0.3255760614085,0.349244161148159,0.539398199812441,-0.0962953835128752,-0.097420746091219,0.26538726840885,-0.199928361429072,0.348534742639801,-0.194174765007101,-0.080209633670658,-0.300480130614502,-0.177143843503406,-0.158217092475742,-0.177930348067089,-0.181986227012332,0.250459889473235,0.199498301296401,0.10487646704952,-0.324178896527596,-0.00901584489042158,-0.36282030551021,0.172255033579918,0.139461779647341,0.108566634733745,0.175410468710944,0.240423184055346,0.440256532318927,-0.300888453573385,-0.341702207912168,-0.00513528619547915,0.17720247033217,0.250460608867468,-0.37367995244054,0.502796770431833,-0.192309365779136,-0.249517150482399,0.151882279702774,0.475493730882243,0.292612620025512,0.19785302437879,-0.35822907928861,0.0642420565270826,0.177829233301233,-0.432339634706518,-0.324766981991945,-0.361313936785495,-0.455577385199622,0.24683637709612,-0.158766901283838,-0.217586312381873,0.274403963036213,-0.338571766845156,-0.289658103590354,-0.148138174093451,-0.127941371138993,0.376281597391139,0.170937627013485,0.124788367947553,0.302554480766193,-0.33423043419535,-0.100099646418117,-0.257576809833777,0.368556359158565,0.408242061238447,-0.227897974124335,-0.346555655293339,-0.189678986565805,-0.367283757466546,-0.416412464425965,0.30041911162834,0.612841694326286,-0.292991402041122,0.0169435126668651,-0.278881813237392,0.0976045980190159,-0.0788991423573113,-0.129026501992524,0.15863993613149,-0.0772365780832899,-0.0848850938342536,0.424497248885643,0.274845820107451,0.051455747343815,0.242328325837835,0.243716893915666,0.212853833891782,-0.176027115492457,-0.249699970763649,0.098311960138472,0.02622597391394,0.0713785247517164,-0.304903715774864,0.21031221929868,0.29928043724814,0.0829412077013232,0.252843488528489,0.26223013418595,-0.250700923488899,-0.0921066963608938,-0.326864253784761,-0.348463839678663,0.274244042773314
