关系,互动强度,交配,亲密性,代沟评估,依恋,信任评估,信息传递,共有式分享,关系效价,具体性,冲突,可见性,同步性,品德评估,商品交换,对相关人员的重要性,对社会的重要性,平等性,强迫,持久性,服务交换,期待互惠性,正式性,爱的表达,独特性,理性,社会情感性,积极性,空间距离,职业性,联盟/联合组织,谈判,金钱交换
三从兄-三从弟,0.6619046196922278,-0.6865199814002363,0.03565837838700707,-1.3622765587602992,-2.3742836439378188,-2.3300529150405525,-3.7061917303689516,0.32716676202723577,0.13902981097112949,1.6290433017478483,1.819495827130087,0.24663912429037646,-0.8749174800467404,-0.22170679955697323,-1.8564441301494892,-3.1509480887522825,-1.944611431678003,0.8558539604203215,-1.0287734573883445,0.6885763965374059,-1.3651913613137021,1.0008842003597895,1.2811681954866465,0.7144260377082188,1.1461777043080237,2.4835442299185555,-0.3073523415694476,1.1513156565307678,-1.6456991361686761,-0.5282418165732189,2.421540085176578,2.196340236623134,-1.6400640549666492
义母-义女,0.9632566470663249,-0.6865199814002363,-0.43701128033973746,0.5678894595748473,1.2203611153690495,0.18548248852332297,1.3184401400559143,-0.5656131848915942,0.7835895898717803,-0.12498576366566891,-0.7834183495301318,-0.7555945896650346,-0.10066754423473064,-0.31905886600133965,-0.010805370082576413,-0.09440265106200689,-1.1112394048623557,-1.0696062884521351,-0.5296723905257457,-0.037373761104824495,0.2931048304287509,-0.3397742652626879,-1.4853846432688391,0.07044374403940616,0.26470505263906646,-0.6323399173240325,0.4581611708008677,0.5144506833265751,0.9845478995715943,1.0175375339015498,1.458905577951076,-0.4659908938865169,0.593921283635578
义母-义子,0.6468370183235229,-0.4918691640258429,-0.6142624023622667,0.589495795600987,-0.09827741442693723,0.22935810602734405,0.062282172449697616,-0.29342417668463394,0.21340209315197378,-0.023007329629999445,-0.20446133597151694,-0.8658402982001299,0.8545212352724768,-0.5137629988900725,-0.3668932830302687,-0.20595540426238224,-1.0011714013206665,-1.315483406563546,0.09420394305250289,-0.1761583500658395,0.2797314740437311,-0.5632173428664341,-0.4793654291759353,-1.0514941582117276,1.321572772752357,0.45376827114338386,-0.6026218391979976,-0.24488832318611567,0.6557670201040604,1.2571333332251389,0.4232139875879251,1.5841984073453677,0.4991763697216441
义父-义女,-1.7489115993005484,1.9899287574976732,-0.5551786950214236,0.16457118708690616,-1.0195180311337226,-1.5110413882988254,-0.2161764903201533,-1.5672687350932086,0.287774375332818,2.240913905961866,1.30274080676372,0.4270411928023505,0.7409084729522363,-3.239620859332333,0.9721978825617578,-2.3477682657095826,-1.7559234256065357,-0.6817437922763885,0.6727074523705152,-1.8736006304351729,0.8815325113696213,-1.0101034980739265,1.2811681954866465,-1.8816275836441811,0.49856514389817735,0.2401076439038921,-0.6354295611567254,-1.6410923029029993,0.23304874650294555,3.2743753855947118,0.7713095013614324,2.079741792951179,1.5912361669401436
义父-义子,-0.6037738952789797,-1.17314702483622,0.6855791591362809,0.250996531191465,0.7687725777676843,-1.9790479750083836,1.1946807343804247,0.4578174859665768,-0.9021821395606904,-1.0020002963724277,1.819495827130087,-2.2789898348772595,0.43794110676492815,0.07034939977612607,0.37035915645298184,0.9318826783814429,0.5555046487689388,-0.9726406644081984,1.9658329437872486,0.17614099114289009,1.951401022171204,1.3919095861663455,-0.932074075517742,1.0162927378654747,-1.6601433908013103,2.4301290731086826,-2.669508322597848,-2.596389762709288,1.642109658506662,0.028238749597697784,0.358751855407646,2.1380410147871567,2.3691417759177047
亲家-亲家,0.5413638087425889,-1.17314702483622,-0.23021830464678675,-1.2038300945686082,-0.12537272668301916,0.18548248852332297,0.8234025173539568,0.1311906761182243,0.4365189396945066,0.2829279724770094,-0.30494147882053274,-0.20436604698955854,1.7003051325453786,0.021673366553942863,1.0624736914780741,1.3000067639426804,1.2159126700190743,1.5415394447310165,-0.38221071167997783,0.6565491837002486,-0.42905641436231734,-1.0101034980739265,0.3254499420983878,-0.4628540929050788,0.2826942904282286,-0.561119708244202,-0.5041986733218143,0.15927598673192958,0.961063551038199,0.3064790326831561,-0.07959064341825203,0.12671786144592373,0.1850221814807059
从祖姑-从侄孙,0.45095820053035984,0.7733611489077141,0.5969535981250162,0.5966979076097002,-0.26084928796342877,0.5072370168861442,-0.4760712422386808,-0.03212272880595194,-0.1584593177522476,-1.2161550078473338,-0.5633189890037162,0.3969741813836881,-0.6476919554062593,-0.9518472978897214,-0.2314795696557941,-0.44021618598316975,0.13095663510813738,-0.8271922283422934,-0.28012185709444626,-0.4644032656002546,-1.124470946383346,-0.8983819592720534,0.4763528242123234,-0.2817340728107253,0.4445974305306902,-0.7747803354836936,0.15195576585274143,-2.8903274426496846,0.3974391862367125,0.49197255474012835,-0.3116543192672569,-0.7186208551757538,-1.011755678484773
从祖母-从孙女,-1.2667483555019932,3.6931234095236154,-0.20067645097636522,1.2881006604461704,-1.0737086556458864,0.30248413520071255,-3.4834248001530708,1.1110711056632818,0.7340080684178837,-2.042180323536258,-0.7642792747017478,0.7277113069889738,-1.8343141396398828,1.7253345293303555,1.2731172456161457,0.8649510264612179,1.2630846715369413,-2.0946714569166085,-0.6204180390462183,1.5853383559778085,2.9677761074327074,-1.9597365778898481,-1.4853846432688391,1.4992794581170839,1.0382422775730493,-1.0952712763429313,1.3986492002843973,0.3429870366946774,-1.035106074300399,-0.8992288606871633,-1.7556060801055091,-0.9518177425196648,-0.32360840900462257
从祖父-从孙女,0.7221750251670472,0.5624894300854545,1.4930564927944698,1.0000161800976413,0.8952173682960664,1.0824951130499758,-0.11716896577976169,1.5465735187944187,1.2794048044107413,2.3224966531904014,0.4414824394864417,1.4894089295950865,1.3300116849831134,1.3034755747381013,0.2700527021015193,1.1326776341421179,1.5618406811500976,0.842001728414045,0.8541987494114601,1.0515514753585216,1.701765036317501,1.0195044568267682,1.415304090699034,-0.5936629963065562,-0.9405738792348143,-0.009163087875514805,1.1143156099754234,1.4452533364711644,0.37395483770331717,-0.6828197516206959,-0.689832161391561,0.4473635815438014,-1.4605473759718275
从祖父-从孙子,1.5056902963396994,-0.1998929379642528,1.7490858912714562,1.144058420271906,0.6062007042311928,0.7119898985715759,-0.36468777713074046,0.9150950197542703,-0.6046930108373133,-1.0020002963724277,-0.36235870330568465,0.7277113069889738,1.5488214494517247,-0.22170679955697323,1.513852736059656,-0.005160448501707199,0.08378463359027055,1.1467508325521314,-0.21206262070409188,0.7526308222117203,-1.0977242336133064,-1.4011288838804825,1.9853816453516793,1.4992794581170839,-2.469659091313618,-0.7213651786738208,1.2674183124494862,-0.5388260031265122,-1.6456991361686761,0.1209855106261839,1.6995642047574517,-0.5437231896678205,1.4117194879453216
