"","夫-妻","父-子","父-女","母-子","母-女","兄-弟","兄-妹","姐-弟","姐-妹","祖父-孙子","祖父-孙女","祖母-孙子","祖母-孙女","外祖父-外孙子","外祖父-外孙女","外祖母-外孙子","外祖母-外孙女","曾祖父-曾孙子","曾祖父-曾孙女","曾祖母-曾孙子","曾祖母-曾孙女","高祖父-玄孙","高祖母-玄孙","外曾祖父-外曾孙","外曾祖母-外曾孙","祖先-后代","伯父-侄子","伯父-侄女","伯母-侄子","伯母-侄女","叔父-侄子","叔父-侄女","叔母-侄子","叔母-侄女","姑父-侄子","姑父-侄女","姑母-侄子","姑母-侄女","舅父-外甥","舅父-外甥女","舅母-外甥","舅母-外甥女","姨父-外甥","姨父-外甥女","姨母-外甥","姨母-外甥女","堂兄-堂弟","堂兄-堂妹","堂姐-堂弟","堂姐-堂妹","表兄-表弟","表兄-表妹","表姐-表弟","表姐-表妹","姑表兄-姑表弟","姑表兄-姑表妹","姑表姐-姑表弟","姑表姐-姑表妹","舅表兄-舅表弟","舅表兄-舅表妹","舅表姐-舅表弟","舅表姐-舅表妹","姨表兄-姨表弟","姨表兄-姨表妹","姨表姐-姨表弟","姨表姐-姨表妹","岳父-女婿","岳母-女婿","公公-儿媳","婆婆-儿媳","舅父-甥媳","舅父-甥女婿","伯父-侄媳","伯父-侄女婿","姐夫-妻弟","妹夫-妻兄","妹夫-妻姐","叔-嫂","姑-嫂","弟媳-伯","兄妻-弟妻","姐夫-妹夫","亲家-亲家","从祖父-从孙子","从祖父-从孙女","从祖母-从孙子","从祖母-从孙女","从祖姑-从侄孙","再从兄-再从弟","三从兄-三从弟","堂伯-堂侄","表叔-表侄","族伯叔-族侄","族兄-族弟","族姐-族妹","堂祖父-堂侄孙","堂祖母-堂侄孙","堂姐夫-堂内弟","表嫂-表小叔","姻伯叔-姻侄","舅公-甥孙","姨婆-姨甥孙","继祖父-继孙子","继祖父-继孙女","继祖母-继孙子","继祖母-继孙女","继外祖父-继外孙子","继外祖父-继外孙女","继外祖母-继外孙子","继外祖母-继外孙女","继父-继子","继父-继女","继母-继子","继母-继女","继兄-继弟","继兄-继妹","继姐-继弟","继姐-继妹","养父-养子","养父-养女","养母-养子","养母-养女","义父-义子","义父-义女","义母-义子","义母-义女","干爹-干儿子","干爹-干女儿","干妈-干儿子","干妈-干女儿","同父异母兄-同父异母弟","同父异母姐-同父异母妹","同父异母兄-同父异母妹","同父异母姐-同父异母弟","同母异父兄-同母异父弟","同母异父姐-同母异父妹","同母异父兄-同母异父妹","同母异父姐-同母异父弟","异父异母兄-异父异母弟","异父异母姐-异父异母妹","异父异母兄-异父异母妹","异父异母姐-异父异母弟"
"夫-妻",1,0.581791611048525,0.487049645810472,0.484814681807612,0.640573481624296,0.0463071586443956,0.0132357287205922,-0.088336624737365,-0.0884736682491053,-0.0118619011197227,-0.236319576311471,0.223465327894921,0.173022308710305,-0.198240655395087,0.155696685902781,0.0881957169957589,0.266794809280443,-0.0694269547528441,0.206179548075475,-0.217326393629474,0.104370364534876,0.0393755854160775,-0.0358127754011287,-0.248984420719999,-0.069998054764853,-0.134497636509667,-0.28066517208873,-0.400563172853866,0.171174371248537,0.0493246761979916,-0.347256303464442,-0.305368347397746,-0.486463001308272,0.0600756953353411,-0.599443319780647,-0.0994271028079125,0.158825806292283,0.219667573844498,-0.140530388168245,0.159101864124898,0.238929855906125,0.52559060957868,0.162930429682594,0.1298878022233,0.437964340379728,0.251729688395095,0.198307514400739,0.278024090377762,0.196897531155781,0.238561008929755,0.0716985724062615,-0.0428115033238613,-0.379382837850694,-0.257062616201556,0.0384169156518523,-0.253766179611717,-0.457024115403846,-0.263297573073435,0.0296995270398827,-0.331164542548447,-0.272868721229354,-0.0496268892747684,-0.444266940458209,-0.0689266460065481,-0.095054110573537,-0.255230547981029,-0.0397621500908286,-0.122150900745814,-0.13043337540322,0.0152158025201692,-0.0704774970008114,-0.242307189943881,0.0499377092799537,-0.299851864154408,0.0911295726813207,0.159240577619299,0.323532003531532,0.264496842173832,0.343094380163378,-0.0159060440171303,-0.213956669969121,-0.137135077484458,-0.170018942942438,-0.410308697908105,-0.273142317034138,-0.218798864281091,-0.194308312351489,-0.2396722369275,0.052242747372016,-0.188012621768747,0.374240067648266,0.477602724455298,0.0866787752912341,0.292170869566055,0.435287959964559,0.0502091148670487,0.275099266549188,-0.143667886538006,0.138828507986125,-0.205111893981098,0.466006164779437,-0.163704279769321,0.0443839768790195,0.105230668429911,-0.201207449514897,-0.423754133859483,-0.523290937775785,-0.554454408688009,-0.276991110192931,-0.213520041509477,0.126288359994942,0.0439458770852997,-0.0728126154866631,-0.184967631734743,-0.242005663468476,0.379398547569171,0.526163303640567,0.280014418237108,0.445179701657233,0.43556311225723,0.542864963065353,0.176734640023901,-0.150830543294491,0.108931676792753,-0.205458257013744,-0.168416471252249,0.268118826760116,0.182042245286303,0.200683718242359,0.119797004454248,0.12727377962254,0.0308572475309789,-0.240576939385308,-0.0590577316416752,0.0308969411668813,-0.117368386717168,-0.371177074406037,-0.498680600896151,-0.0751210181487202,-0.0808205326798346,-0.331313908802898,0.0103406005549493
"父-子",0.581791611048525,1,0.734843428347767,0.910112710439981,0.799500082258874,-0.440148398304978,-0.0957759173363204,0.0922556006287355,-0.08160939199708,-0.159699786330905,-0.206273646115042,-0.0407333880470677,-0.109764441033547,0.0495848739281983,-0.0508292029635371,-0.123880643288753,-0.0777103824540877,-0.347748304496425,-0.326176619210078,-0.151292492059284,0.405513652710753,0.2787649906469,0.204537021745711,0.0477305896421319,0.00119684335445557,0.161592492259276,0.166999441727263,-0.119022350132104,0.0615862641791341,0.299614087795218,-0.211095609508895,-0.390456791629006,-0.280963228279952,0.0412849440900655,-0.1823569011624,0.0294869886587216,-0.0300897033362096,-0.0744528782005404,-0.15145400794217,-0.12102431325488,-0.0603790746772413,0.415205895474384,0.239230450661004,0.716621182295967,0.597580736145031,0.122376492980521,-0.234214434744993,0.29256587416553,0.476895658967104,0.30104197037091,0.0578188873794433,0.00431700523665122,0.00305473085062634,-0.248944873907334,-0.040877974205563,-0.43140184970109,-0.202075233441063,0.00792205177002107,-0.213273975982621,0.0677317041333955,0.0236031005081621,-0.284080303961856,-0.0507379780413699,-0.0707894792291521,-0.337365936438571,-0.31503543360775,-0.145122925737654,-0.00184703524226832,-0.130748529019666,0.0671434982606811,0.303097536234797,0.105984556661061,0.413225823784615,0.0206962921493862,0.417633615762186,0.240314000317045,0.26870293465795,0.0218124452345967,0.161718693886621,-0.0793444848160445,-0.548724025592616,-0.207332028015301,-0.416471863227741,-0.154951352449785,-0.232092017931745,0.0692057416847323,0.0576658549377444,-0.479988981473064,-0.158583863920639,-0.569976680160997,-0.0197536438136985,0.336059447751518,-0.153962436416211,0.358634964687336,0.112160277445959,0.358024069855095,-0.0889844263583709,0.055589704530796,-0.0945786632202427,0.200977530088278,0.379074568368062,-0.215400018861366,-0.0390416604379839,0.317253159575718,-0.208706034396954,-0.0621847015305174,-0.355357354562934,-0.284014987988855,-0.384123252252373,-0.356749126920698,0.113280412120369,-0.106775068398909,-0.267228330857934,-0.421599491921486,-0.402397458403137,0.253412150476849,0.299190280679593,0.233516109677934,-0.0491647716751004,0.155462390913218,0.155702698329021,-0.109598526622948,-0.247397807534266,-0.115582742446395,-0.244021140347602,-0.241710028676026,0.0719207318505379,0.0831232371525098,0.275615387428843,-0.0104795701399485,0.337882330582502,0.329296185087254,0.136356778428002,0.227891540536788,-0.200255834141299,-0.411443459661113,-0.0467471191868852,-0.404791991918467,-0.472574911570518,-0.312824517933928,-0.446891932681186,-0.530362052107382
"父-女",0.487049645810472,0.734843428347767,1,0.769551001872437,0.667684995607482,-0.293926914429105,0.0721810815588322,0.151852087746723,0.121579313207387,-0.116196080480185,0.0499670454372334,-0.096780519257142,0.0901308927061018,0.268543264862547,0.0552412200897355,-0.02437321876056,-0.266055943542709,-0.297453348253978,-0.342364494295298,-0.235211509941155,0.364245095626333,0.515244095410712,0.482567165879139,0.235769412152783,0.111996268121824,0.300362825205057,0.27401567107514,-0.0545023843879567,0.161514555469307,0.411645913236334,-0.137165377171422,-0.194285644461547,-0.160420744461171,0.0575982456849881,-0.29367711161048,0.230932001915118,-0.124116515422665,-0.120354882704088,-0.205681884718067,-0.199759832522103,-0.0184690320856185,0.195906641982028,-0.0207594715474356,0.5508048841414,0.616132757448152,-0.228906540329446,-0.0962082465739077,0.245127525839897,0.459486930594549,0.189488184633205,0.0501400512848751,-0.0304335744856167,0.243300424462012,-0.033638350723548,-0.184232792729946,-0.330328340028893,0.0862290830291474,0.102991851067826,-0.196006982872136,0.0993837240034368,-0.0727459444619822,-0.36210988792063,0.00269229801323902,-0.0250030278955991,-0.400409856768086,-0.35332523156587,-3.91254983277104e-05,0.074747583393412,-0.0340513175028429,-0.0410448418764747,0.179032771720904,-0.0453329197504393,0.318189780230862,-0.0428571788233169,0.515581528528685,-0.00383378505644117,0.295097462585789,-0.0626767910587685,0.124786760276428,-0.133721943113492,-0.488143818947529,-0.0196903460538406,-0.434770569558008,-0.0277624728303683,0.0590230278511802,0.126349000818981,-0.0374488344106876,-0.50702829175929,-0.185399017978831,-0.388422901049879,0.0956687435381047,0.255387211771286,-0.0903266598269912,0.238888830766922,-0.0718885025847565,0.405978662197055,-0.118738366841945,-0.11817429590933,-0.249013801811719,0.333290562241526,0.0537185889362802,-0.269448680235387,-0.298937934727969,0.104285656701953,-0.376659538680692,-0.0341997266760071,-0.463685018972138,-0.428554697655986,-0.31597608568442,-0.458832740501961,-0.0580264931592473,-0.165220485021714,-0.128911222820359,-0.455437049110853,-0.531129348658715,-0.0868251786424095,0.238997111003888,-0.106413390689118,0.140733132906633,0.216159348689025,-0.0506684333746218,-0.171423608564621,-0.12676552414623,-0.238399762162177,-0.0532854450104267,-0.282864051479962,0.288356567554867,0.270703014589751,0.161308501164103,-0.138962651040193,0.154291351222021,0.382550428983581,0.224301701870203,0.282798611005541,-0.346339999052064,-0.597746711394953,-0.057777344408973,-0.325471500436196,-0.628238153165051,-0.287355395693599,-0.371653363945755,-0.386211848964028
"母-子",0.484814681807612,0.910112710439981,0.769551001872437,1,0.661283012376485,-0.489212875859936,-0.180964778909146,0.0438555543691652,-0.139581935344729,-0.25966252641687,-0.139756978036982,-0.162070756636762,-0.0266178679039982,0.0516910561020747,-0.107513331918663,-0.180691098721669,-0.162294814330964,-0.335554138544846,-0.424808919863462,-0.182215039563057,0.373354283740749,0.285402895229591,0.270746336045633,0.159840804148711,-0.0695894716505225,0.232225562441185,0.271638830467479,-0.0557964167178364,0.0539776242831208,0.240911455930429,-0.243215235126466,-0.383011579447464,-0.178870119044089,0.106275646436437,-0.09611621267691,0.02870048717893,-0.0301990576183689,-0.127553301142856,-0.142657463272226,-0.195918429461221,-0.0341385008864164,0.344401467837605,0.284447884603589,0.757593088434724,0.613176887500865,0.0439919808428197,-0.197200559669142,0.327736560644639,0.470499400675329,0.384319943354075,0.00975826847536652,-0.0535466736180771,0.1002064629801,-0.18870033507997,-0.0434818066468338,-0.344194633446127,-0.110795252913804,0.0641129917736769,-0.220126158012696,0.122549596999764,0.0578645538799303,-0.294427480775055,0.0386647989885656,0.058475056555844,-0.376136749861974,-0.281719038959748,-0.135233379940955,0.0578750966478716,-0.123619907574068,-0.0669319145066661,0.26801670014894,0.126881892270097,0.375848195233245,0.0889815577904162,0.440141780826707,0.291817606670628,0.350036198802678,0.034236672638003,0.237015101965357,-0.102364071896742,-0.597216752657553,-0.126190798297792,-0.396797023059463,-0.129827674254503,-0.252940041569509,0.0159338236642778,0.00615009086478338,-0.550715528256766,-0.250710863342317,-0.538842713341762,0.00346303331125655,0.314366256027199,-0.0673518926204653,0.375399230697421,-0.0172816515893263,0.359965288560451,-0.102814603548343,0.00659251377589549,-0.143139950037974,0.333562334093175,0.345615516486688,-0.230092243517137,-0.0508233726985195,0.345608077432635,-0.224382001871477,-0.0342397553663805,-0.405704488111978,-0.3036936933967,-0.310907538947855,-0.374345548710832,0.163246512267962,-0.121691164365099,-0.176569489745335,-0.477001077398208,-0.427243903022258,0.248676997596405,0.232381051967985,0.197618106201974,-0.0615016849757118,0.170861788071857,0.0117850456300558,-0.180523149889715,-0.202174125153156,-0.190876434161763,-0.224946979089264,-0.119046478394126,0.104883057590783,0.194697967358344,0.222152640654266,-0.00621325911442045,0.261159904616137,0.336784840203362,0.147411015135643,0.234945273113421,-0.196753706140965,-0.458740582733752,-0.0430191194437682,-0.342097896439891,-0.567039798315732,-0.362065819677295,-0.329887125685259,-0.571624886397935
"母-女",0.640573481624296,0.799500082258874,0.667684995607482,0.661283012376485,1,-0.196977570231983,0.129448609207031,0.0171635261313986,0.108429752591565,0.0107928849475826,-0.229482625238427,-0.0263022966081609,-0.156743761526213,-0.000457954081435125,0.0473898267468292,-0.0580941288990064,-0.0156972513003125,-0.488732734259932,-0.151445150218634,-0.257664707307927,0.2755455530021,0.382780476511726,0.032887563792442,-0.0741837499685691,0.0891610497841388,-0.0288748177017892,-0.0656145923874782,-0.239628654244669,0.245466797655212,0.454400165921987,-0.135829266021006,-0.236986263703623,-0.362154157782327,0.054787658522202,-0.384786135815076,0.0416008169173,-0.201207927290277,-0.0675722925763948,-0.141778856135631,-0.10243480901686,-0.0283100803661077,0.472248815422794,0.0905515378276565,0.497494012384055,0.681102017010045,0.148625867374761,-0.103231213526246,0.30621457837678,0.550713700972841,0.151699323010939,0.223826417308915,0.138929111261269,-0.140389971667535,-0.218945807120333,-0.140368290903437,-0.321753561477593,-0.206824132474202,0.0207954560310509,-0.00253388267803492,0.0432234061846706,-0.0109071537736017,-0.0990922130219264,-0.0453464682412169,-0.146565446298066,-0.156436744556835,-0.298793779385808,-0.0814384414892913,-0.0886492940587872,-0.123067039401172,0.111796692823197,0.147213187105233,-0.128357094899106,0.233485669403731,-0.196327621957195,0.406164100605613,0.044443790725736,0.217572477294993,-0.203319541030135,-0.0754567728655593,-0.103438320410927,-0.401492852604648,-0.081257487980489,-0.527637743152207,-0.213392876314243,-0.08826000410122,0.138629669917375,0.0466648073968681,-0.468803869647012,0.0340897778465838,-0.393572858063127,0.0126343780447002,0.432178462576526,-0.243178576615655,0.333665415483071,0.210415074163898,0.393254394866003,0.0398364677805144,-0.0187047683172401,-0.249228205272025,-0.0301663323561808,0.224617002844923,-0.171056609405647,-0.116696901038936,0.18350186033561,-0.246169732266917,0.0125733330692388,-0.323140320270792,-0.356722318391385,-0.376723649168867,-0.411419881580627,-0.00823879258819469,0.0989921587486355,-0.150706110918647,-0.295132852837296,-0.431037207610884,0.134380489000709,0.449126304122801,0.191565267620909,0.0776296413130536,0.0157799419966144,0.225731790841813,-0.128456129079336,-0.200702708412065,-0.185929642259129,-0.209835329838698,-0.2768210068239,0.200318677639954,0.0537093206927101,0.303151738326502,0.0257627689279656,0.307496446599174,0.265647929774205,0.162192244481917,0.0176708417499919,-0.283522871871762,-0.389628591637115,-0.187841071690727,-0.465538844488251,-0.30423832118,-0.0735896144142928,-0.350839605228196,-0.310016126804973
"兄-弟",0.0463071586443956,-0.440148398304978,-0.293926914429105,-0.489212875859936,-0.196977570231983,1,0.531526693403842,0.174998437652822,0.399741201645964,0.49281979015264,-0.0273732984701367,0.0777333110747798,0.065365917318591,-0.126917469593793,0.116105721944137,0.122486463097394,0.155020355876659,0.256699473191688,0.384840737424899,-0.0330388173931299,-0.336700721575246,-0.16261333346247,-0.222076073062813,-0.272046551373557,-0.0192454914108873,-0.199693519093563,-0.309766689805957,-0.247528649908394,0.138505997719698,-0.15233503664468,-0.026901015631902,0.0723219504696198,-0.161976486335912,-0.0652065308595779,-0.378601554382129,-0.192299229840657,-0.0388407739815238,0.0276826276314989,-0.13735386805515,0.0433106645530097,0.0454023677965059,-0.0823663249946734,-0.156933378996539,-0.547662234279155,-0.281543370022508,-0.0812340545770083,0.233246872817556,-0.138093068803103,-0.282019298186008,-0.175556833514853,0.136872646528012,-0.0253329049714266,-0.277029202490291,-0.0290825053057543,0.123759247291258,0.210668238522068,-0.133028793115979,-0.102398744532453,0.223807618974221,-0.25042177698874,-0.210129195220156,0.222899817005781,-0.259248452689757,-0.0375890373129753,0.244593202247505,0.0261728532298205,-0.0215462133657177,-0.190542854994629,-0.0687361454316632,-0.0961345058587359,-0.354852580918785,-0.375603857928184,-0.39148604897321,-0.37116860496129,-0.344061620308836,-0.236899796452252,-0.176614468932037,-0.0444569982868283,-0.16042684178341,-0.177960767787751,0.373243240796984,0.0579462668686688,0.316018759190564,0.050786789736864,0.167894900969577,-0.179676833739251,0.00219870920915332,0.380899633048711,0.41504791144537,0.509463673492391,0.142360715045928,-0.005104680257242,0.00782780244571375,-0.172867038075049,0.175440759015021,-0.267604133211043,0.135780877691755,-0.295024106565916,-0.0443722945860506,-0.440270997486977,-0.177044263652018,-0.0440381221242765,-0.0231320140346904,-0.181801405315856,-0.148421674829194,-0.1905702150604,-0.00865655227701896,-0.122522710639776,0.206205092431468,0.129138189026684,0.0298262559701346,0.138206225329123,0.261802859479474,0.308652010439169,0.202446406707974,-0.101563924486334,0.0948041200131204,-0.114204712289432,0.279530601566482,0.0566789928001597,0.242949639907956,0.130724011694493,0.0302120110099243,0.0739678993920978,0.0950902882335808,0.0851806712091893,0.113017969325729,0.0116357026949453,-0.0156886225708108,0.0872750584101694,-0.0705959341824362,-0.155288794673974,-0.208292033221046,-0.214793959254332,0.255385082201283,0.401297469127389,-0.0404595504729664,0.0930386546757314,0.509320781583035,0.377279220927253,0.199998049678998,0.581299690368279
"兄-妹",0.0132357287205922,-0.0957759173363204,0.0721810815588322,-0.180964778909146,0.129448609207031,0.531526693403842,1,0.552554071819385,0.783586214298153,0.666085786848777,-0.125304089901793,-0.130007364974335,-0.257973699431115,0.0329705984821259,-0.0988658693549016,-0.115512215676409,-0.153963583329531,-0.0958983075668393,-0.0255530139283119,-0.240249564628388,0.059071513000637,0.28288651309373,0.0500609372701155,-0.1069067163061,0.11764112847905,0.0439523846498986,-0.0386988111326113,-0.33537381547574,0.249608162847457,0.256445285463027,0.165646988439523,0.0923351219465354,-0.122562286901621,-0.0755272058641935,-0.378373886904196,-0.0980496436264843,-0.264076212697738,-0.246201182659671,-0.41358730724976,-0.342338055521143,-0.326415087603951,-0.0796319388028852,-0.335353146456979,-0.202090753699607,-0.0547296704303511,-0.353249597994198,-0.13859011961095,-0.196861770162563,-0.0541293283694032,-0.360384178476804,0.371375251200766,0.184111418150538,0.0527667965728539,-0.106534706801975,0.0895025232940473,0.115095115005137,0.167929358517888,0.366567184816752,0.164982553765282,0.2264519901215,0.159317545388402,0.150911916345785,0.10490563936675,0.0594689576022054,0.201114188177297,-0.262324143009428,-0.222013379239222,-0.241010047638861,-0.270748590577438,-0.0567172375449492,0.0181702175511697,-0.461360086320581,-0.0406838770934579,-0.521515543001386,-0.0315698450858735,-0.41217787497286,-0.260065824069298,-0.370260274593884,-0.457047960385119,-0.48635024164828,0.189547330412889,0.232336306072356,0.0650104656037358,0.353253719001053,0.526994720600586,0.186470508896042,0.351053745350515,0.15457437618754,0.400624044534099,0.156331618163065,-0.191792301129365,-0.0120540875772513,-0.323645924431976,-0.26650541947615,-0.0524929085415928,0.0781414328039081,-0.255368549013816,-0.285737411619281,-0.374855900262334,-0.190939334410099,-0.3651573463148,-0.367392111717566,-0.217505771067307,-0.0394418342130608,-0.36787441879874,0.17037443577662,0.0991071584788859,-0.0471662162065043,0.0042953170702294,-0.066632960476189,-0.0368636166911437,0.000778273711680438,0.033627306391202,0.0270112058531671,-0.131634592363224,-0.291644066099698,0.0785682325151839,-0.30927823759747,0.100451271301944,-0.148914885421484,0.0615537731306698,-0.133222500615847,-0.234329722653694,-0.233637210038285,-0.0750409132377171,-0.21139444135136,0.135683929369495,0.000154603210571444,0.203993488978568,-0.0179412972561918,0.239719804736898,0.245718292192307,0.09007957601501,0.00877391749170669,-0.0235748786864027,0.151283040911961,0.262075996770051,-0.014493723318039,0.222139564060734,0.295124812170964,0.0506532893351068,0.169033267589468
"姐-弟",-0.088336624737365,0.0922556006287355,0.151852087746723,0.0438555543691652,0.0171635261313986,0.174998437652822,0.552554071819385,1,0.650721442821534,0.310455734774493,0.00723742893150478,0.0334895868657498,-0.272232813269718,0.258992899828499,-0.0253271377814648,-0.171013497684793,-0.346886153286206,0.0265721272784941,-0.318536136563121,0.0457271764451865,0.283771643203889,0.192979415632956,0.32872650099222,0.0346365213309394,0.272429497599958,0.48142330644106,0.347707708577406,-0.0119284557079902,-0.102451652338777,0.219198709116574,0.285632649274325,0.0731299469939938,0.150444292571319,-0.1863119044301,-0.0209617603966619,0.0686066895156903,-0.0178531663251961,-0.0929987226506618,-0.304405937926358,-0.0946651517913702,-0.533083287877067,-0.295466524303097,-0.356760442941766,0.000324351733930748,-0.307194039371135,-0.484761661460761,-0.378370141153892,-0.514110292261758,-0.326177936385187,-0.440901882638552,0.114646830236752,0.0309412598101653,0.403444736500035,0.101325886770896,0.062667422050477,-0.235268970426079,0.292373987034038,0.344219717872206,-0.286217754003224,0.248851992451114,0.174877349014183,-0.212380853873427,0.0736470480139559,-0.0199417592042954,-0.081822634741006,-0.200590484689617,-0.159381290880758,0.0586872673505569,-0.177291573608277,0.251865078013037,0.382025914613987,-0.0464481079194093,0.279046597493081,-0.20526497299464,-0.0760764409515979,-0.413755934573472,-0.505464832150417,-0.145449118308452,-0.289789852750711,-0.384122901174318,0.136448709547753,-0.0947840465444604,0.186707559776232,0.542513775046482,0.406089711988901,0.117979456710739,0.312249029612698,0.138646801580754,0.0163797654999675,-0.141124294048655,-0.426411061210695,-0.352857874762796,-0.392963663560451,-0.509260559339654,-0.153546023598271,0.00149891547692051,-0.592204919584849,-0.0215228735667031,-0.164072847325091,0.0835021061813258,-0.365524786568243,-0.266159809429018,-0.24065656501904,-0.110838600211572,-0.215464622017947,0.121146275317692,0.260853188348757,0.260571758459748,-0.115858847738763,0.113152863432392,-0.021932938490214,-0.326047262045355,-0.315941701113973,0.026611138147273,0.0298630684450592,-0.284673292657728,-0.255357486609534,-0.322923414271719,-0.0884547824114179,0.0157318667098469,-0.0704984621559724,0.122987603997615,-0.142772213317592,0.0576891320582073,0.0876057873777314,-0.360027199832235,-0.165618896039292,-0.174427234833558,0.166458832661598,-0.0849419932503075,0.26264293661866,0.368015753380792,0.105150696856446,0.47682826441211,-0.103342357549675,0.0215392594010872,0.65190375047394,0.282306524662499,-0.0104066415005672,-0.0370157899073123,-0.247419947381768,-0.100783397608548
"姐-妹",-0.0884736682491053,-0.08160939199708,0.121579313207387,-0.139581935344729,0.108429752591565,0.399741201645964,0.783586214298153,0.650721442821534,1,0.501026801363905,0.0344414819591892,-0.0551580029594717,-0.345395617153394,0.209618788977867,0.0366751697571864,-0.0322969756466258,-0.351001465369851,-0.109637231636691,-0.19540157562314,-0.0812685752878094,0.22955336515721,0.403626933908213,0.207803034717361,0.00808055945681705,0.286574929928724,0.182471548838173,0.0908981200805289,-0.157811824142568,0.0669012144604956,0.354092390957415,0.165951600058373,0.169633707256565,-4.40554854197748e-05,-0.152372679811724,-0.289788592683273,0.0371682079369556,-0.260663430783139,-0.147195544444001,-0.291337455532007,-0.199881040295391,-0.463904046284506,-0.259767516451497,-0.43269203735565,-0.168936397618662,-0.13075184411313,-0.447798472861754,-0.207099789955395,-0.301496826779787,-0.124237103621288,-0.389210793198587,0.17614820315352,0.0298929028813409,0.19382037771367,0.120862324036708,0.0283995287785251,-0.0567987664163455,0.294391467926213,0.359857056915716,0.00165493095686453,0.208464428553075,0.0821370004715247,-0.0290762586253051,0.069193542670211,-0.113064270740299,0.0551139027008185,-0.12952608419972,-0.031328765768882,-0.0278496896799739,-0.0693718465658456,0.110724495864423,0.207397659741395,-0.264141751515,0.12978746799433,-0.348039289526948,0.0257156370963304,-0.513916750131031,-0.348046401787729,-0.416935899985209,-0.53703248860828,-0.347722945318681,0.179976620841459,0.0193824392367348,-0.0281997598108089,0.432728162900041,0.521323510146299,0.268922348480343,0.303699473307441,0.122877574949795,0.234423125466804,-0.0432179395952032,-0.279406010782682,-0.157965223231998,-0.409934994525755,-0.378195786256304,-0.0804581579598111,0.200245488876749,-0.356847284514974,-0.124884424319251,-0.339536003037181,-0.0721160603336841,-0.465394444377783,-0.213484622647495,-0.261340327957578,-0.193332313949399,-0.289989777674679,0.227862268624383,0.193581569699202,0.0303495968515774,-0.114395707731326,-0.0735250770608353,-0.212819120274688,-0.190828636575361,-0.126449659363963,0.0507901605684693,-0.0997433738398301,-0.350262385122838,-0.0396007196910974,-0.353499610779772,0.0360442614593953,-0.173474223226588,0.0470683358172112,-0.0185162410279775,0.000676006572366983,-0.136313758702773,0.176576191383597,-0.376613895610947,-0.000144632042494557,-0.155494218205491,0.152488065163487,-0.135155901003815,0.224523371856139,0.331510812375847,0.260930602970266,0.228355092601251,-0.0972640315516772,-0.022949753192054,0.49031077721498,0.164230725932754,0.0551685052370577,0.265469131106452,-0.0999502460628002,0.0155424441543696
"祖父-孙子",-0.0118619011197227,-0.159699786330905,-0.116196080480185,-0.25966252641687,0.0107928849475826,0.49281979015264,0.666085786848777,0.310455734774493,0.501026801363905,1,-0.101407832015089,0.0194688162997255,-0.23271267934904,-0.251370223683382,-0.018190034774939,0.0763572563889414,0.0718132189546999,-0.0309457913838334,0.128939110151238,-0.162714728265237,-0.0123764630105217,0.0633660383871297,-0.259681718826544,-0.346124120823972,-0.129642457730659,-0.217501485964693,-0.296134034996368,-0.395292254584636,0.1291811454962,0.0724955515230341,0.000219676565936348,0.107730158908828,-0.131318347904654,0.0887646701345295,-0.290712284422724,-0.313990978442799,-0.136051321000918,-0.144159114705646,-0.276781708458151,-0.218495495677883,-0.300316060604035,-0.00239812830007897,-0.186884979920423,-0.243723358046062,-0.120883956940727,-0.123034143400482,-0.175946572951127,-0.0270208956538461,-0.150951721115079,-0.157585945877151,0.313150224959002,0.196447923251881,-0.201857731683909,-0.150420070924093,0.270781943101362,0.290542570037717,-0.0890496664587015,0.177157067117546,0.536732248835545,0.110193008600488,0.0931060340075455,0.436755410006453,0.0104274367375627,0.171285659674333,0.403040545486263,-0.173257604805849,-0.116620862077885,-0.2836261958985,-0.216777922049592,-0.203295102569645,-0.0737027718037029,-0.522735580589676,-0.0672156927923827,-0.532994064493615,-0.0552864624446828,-0.194851345487632,-0.111695790515464,-0.404894395399107,-0.434271461943552,-0.311275594630028,0.250276325829062,0.253978717808857,0.201549483454222,0.140095570835473,0.263353516142498,0.00675786252097885,0.148258936541046,0.264364810653125,0.600955231949374,0.211544095499584,-0.214888201475241,0.0772707277282542,-0.329307816521466,-0.148283816440174,0.0539696831695474,-0.00122908615604703,-0.187597492627558,-0.356130362553829,-0.296271370051719,-0.416601021451889,-0.154779964926803,-0.244486902557975,-0.0713335918231319,-0.101353466963739,-0.198690742838273,0.0818778341268531,0.0251364062276028,-0.0866949778134787,0.0729802808142661,0.0185850446123849,0.225263692414696,0.317839728247542,0.243397103598311,0.223914475615955,0.140664763958098,-0.116981547532019,0.109327179738677,-0.140435638533262,-0.0280448121077949,-0.238276659249929,0.0656504312271231,-0.149924022559857,-0.25341299414569,-0.185554490075183,-0.179321047705804,-0.0592855352358534,0.0424962498474728,0.00188323809430804,0.0373723262894671,0.22035978014147,0.0913334532144604,-0.0117887375937945,-0.0513067864129419,-0.250712270591768,0.0814479028281629,0.307030416515231,0.0837900418299361,-0.0821549418569611,0.326718496961006,0.469944776606116,0.237388842968336,0.268806254557122
