"","geo","model","value"
"2","modern","Formality",0.101512616638649
"4","modern","Activeness",0.0098904849756424
"6","modern","Valence",0.122171532030882
"8","modern","Exchange",-0.00415535526164098
"10","modern","Equality",0.00666992390217312
